,,Value,Relative Spacing,Delta Percent
Y1,mse,52.132137,0.0077581275,0.05657407
Y1,std,13.475577,0.0070403237,0.16374233
Y2,mse,66.71433,0.010198189,0.06945964
Y2,std,17.062428,0.011123291,0.18807119
Y3,mse,89.49665,0.028157957,0.012675996
Y3,std,22.896214,0.0016035204,0.019521767
