,,Value,Relative Spacing,Delta Percent
Y1,mse,74.41692,0.35289457,0.14297244
Y1,std,20.735683,0.44474277,2.5237565
Y2,mse,25.16297,0.1799115,0.78460354
Y2,std,7.9015155,0.19095004,3.9560378
Y3,mse,132.97235,1.6973212,0.071135096
Y3,std,36.53595,1.0185008,0.25974178
