,,Value,Relative Spacing,Delta Percent
Y1,mse,52.861683,1178.0168,0.035764355
Y1,std,13.639635,1665.4716,0.07650404
Y2,mse,63.70559,11523.897,0.2691581
Y2,std,16.349266,16288.866,1.3114283
Y3,mse,92.37375,1.1836467,2070.51
Y3,std,23.715733,0.0024466245,47778.277
